Image,Region,L1,L2,Cosine,SSIM
0043.png,Background,5.5372195,0.5141757,0.16446967,0.45433018
0044.png,Foreground,7.393596,0.69627976,0.27980748,0.84341884
0044.png,Background,5.1414766,0.4775082,0.1262687,0.58166105
0045.png,Foreground,8.092844,0.750811,0.32592157,0.8588175
0045.png,Background,5.2999854,0.49239728,0.13391136,0.40828028
0046.png,Foreground,8.067608,0.7527366,0.298876,0.8044938
0046.png,Background,5.0744863,0.4705622,0.11387112,0.34178314
0047.png,Foreground,6.9219737,0.6544987,0.20569542,0.56794214
0047.png,Background,4.843638,0.4525577,0.09770489,0.24228513
0048.png,Foreground,7.836458,0.72666943,0.3302589,0.72312635
0048.png,Background,5.119238,0.47584915,0.13537323,0.25961772
0049.png,Foreground,7.6671667,0.72303426,0.2687014,0.7348128
0049.png,Background,4.806709,0.44951415,0.088035375,0.21025182
0050.png,Foreground,8.321047,0.78298867,0.3166055,0.8596039
0050.png,Background,5.8372407,0.5453782,0.14765066,0.49668828
0051.png,Foreground,7.4361167,0.69599795,0.27696824,0.8334124
0051.png,Background,5.552921,0.51582,0.14986806,0.4240948
0052.png,Foreground,7.1576157,0.66779697,0.25106344,0.75633836
0052.png,Background,5.184681,0.48184577,0.13017476,0.42541024
0053.png,Foreground,8.317858,0.7758014,0.34582302,0.69436675
0053.png,Background,4.6936836,0.43719468,0.09765468,0.16599448
0054.png,Foreground,6.5127788,0.61983883,0.21063346,0.29893917
0054.png,Background,4.3278203,0.40278363,0.0861905,0.12074747
0055.png,Foreground,7.5638456,0.6993861,0.2745818,0.9323746
0055.png,Background,5.5572715,0.515671,0.15098904,0.5784334
0056.png,Foreground,7.8816414,0.73879826,0.31373808,0.8752576
0056.png,Background,5.3474145,0.49750605,0.13953516,0.495553
0057.png,Foreground,6.940934,0.64824384,0.25185156,0.90148276
0057.png,Background,5.024173,0.46822366,0.12295744,0.60328406
0058.png,Foreground,7.7998757,0.74079657,0.31872058,0.68781376
0058.png,Background,4.9401507,0.47509208,0.11825335,0.26485452
0059.png,Foreground,7.876119,0.7436079,0.2897023,0.61977834
0059.png,Background,4.40696,0.4116799,0.0730443,0.11060705
0060.png,Foreground,7.895955,0.74575746,0.29139364,0.7895805
0060.png,Background,4.864127,0.4526814,0.09708005,0.51719093
0061.png,Foreground,7.156399,0.67257667,0.23700273,0.5687851
0061.png,Background,4.607492,0.4283601,0.09345428,0.23720153
0062.png,Foreground,8.454464,0.78832084,0.38822058,0.81396365
0062.png,Background,4.747254,0.44082355,0.11000512,0.30155864
0063.png,Foreground,6.7900047,0.6361804,0.21421604,0.5533542
0063.png,Background,5.209153,0.4834423,0.13446586,0.4534141
0064.png,Foreground,8.610732,0.80539536,0.40694934,0.85745823
0064.png,Background,5.3618073,0.4976474,0.1538864,0.30691245
0065.png,Foreground,7.3070574,0.679484,0.2949801,0.7031399
0065.png,Background,5.1112137,0.47539327,0.14180622,0.27267125
0066.png,Foreground,8.07389,0.761075,0.3333365,0.6771031
0066.png,Background,4.4652114,0.41807246,0.0818098,0.1788217
0067.png,Foreground,7.9535403,0.7511135,0.30625713,0.68723035
0067.png,Background,4.7902017,0.4449843,0.11249039,0.29267344
0068.png,Foreground,7.2305717,0.6903849,0.22297966,0.63987875
0068.png,Background,4.3495903,0.40680778,0.07218038,0.26392144
0069.png,Foreground,7.8432617,0.7281321,0.34656847,0.7841909
0069.png,Background,5.382805,0.49998868,0.15926825,0.29714122
0070.png,Foreground,9.91773,1.2840633,0.28208798,0.8361807
0070.png,Background,5.489034,0.6116243,0.09676508,0.08914536
0071.png,Foreground,8.427926,0.8117154,0.3724447,0.71088624
0071.png,Background,4.1405997,0.38689092,0.071164794,0.08829361
0072.png,Foreground,7.7659616,0.72907424,0.26260185,0.7472062
0072.png,Background,4.7015767,0.4375184,0.09818554,0.18138592
0073.png,Foreground,8.161192,0.76074666,0.34624106,0.8778233
0073.png,Background,5.283915,0.48949838,0.1505955,0.40960777
0074.png,Foreground,8.587246,0.8087851,0.37262425,0.87291527
0074.png,Background,4.9396386,0.46032092,0.108496346,0.39041913
0075.png,Foreground,7.623774,0.72469485,0.28132105,0.6825
0075.png,Background,4.8763595,0.45509517,0.11585676,0.20197935
0076.png,Foreground,7.6257305,0.7134824,0.243425,0.55977905
0076.png,Background,4.7119884,0.44077396,0.09725609,0.18081744
0077.png,Foreground,7.563526,0.73442066,0.26871884,0.5524204
0077.png,Background,4.7181153,0.44222236,0.093007065,0.16799891
0078.png,Foreground,6.4929385,0.6279983,0.20064819,0.33964825
0078.png,Background,4.3248024,0.40540004,0.06696411,0.079375245
0079.png,Foreground,7.9788814,0.7733153,0.30806482,0.702234
0079.png,Background,4.8194456,0.4518446,0.08904955,0.27120325
0080.png,Foreground,7.89916,0.7395574,0.3136635,0.6737529
0080.png,Background,4.357235,0.40648103,0.0850245,0.115843594
0081.png,Foreground,7.581815,0.71979976,0.27729762,0.80024326
0081.png,Background,4.837782,0.45136464,0.099695794,0.47914347
0082.png,Foreground,7.736269,0.7306683,0.24553314,0.67819273
0082.png,Background,5.240416,0.48794198,0.11679118,0.30519792
0083.png,Foreground,6.9792986,0.66512805,0.20579374,0.8433969
0083.png,Background,5.478933,0.51113963,0.13605195,0.40112782
0084.png,Foreground,7.413248,0.70298624,0.25450894,0.68927264
0084.png,Background,5.2218547,0.48600128,0.124326445,0.39605173
0085.png,Foreground,7.7723713,0.73780334,0.29466635,0.7830353
0085.png,Background,5.062042,0.47006884,0.122110985,0.25181502
0086.png,Foreground,7.8717346,0.73061574,0.2955283,0.92180884
0086.png,Background,5.455879,0.5069301,0.1428186,0.5672797
0087.png,Foreground,8.332287,0.7691227,0.35323587,0.8105345
0087.png,Background,4.9111357,0.45828363,0.09679678,0.16042861
0088.png,Foreground,7.702417,0.72134674,0.29748434,0.8664613
0088.png,Background,5.410729,0.50290924,0.15304895,0.5712511
0089.png,Foreground,6.9348493,0.64594674,0.2173532,0.7962331
0089.png,Background,5.1119847,0.47560748,0.11225798,0.29878417
0090.png,Foreground,7.856591,0.7632012,0.29551297,0.63268894
0090.png,Background,4.7155232,0.43978366,0.096426636,0.21586889
0091.png,Foreground,8.37459,0.7726581,0.39728352,0.8918557
0091.png,Background,5.4472575,0.5069432,0.16103646,0.26976228
0092.png,Foreground,8.299337,0.76861817,0.38698483,0.73988247
0092.png,Background,5.247785,0.49601242,0.14134653,0.28799653
0093.png,Foreground,8.681183,0.83457863,0.4124266,0.84764695
0093.png,Background,4.7680497,0.4617126,0.11359588,0.17325251
0094.png,Foreground,7.905441,0.73386884,0.34002775,0.845656
0094.png,Background,5.200396,0.48349503,0.13702193,0.3735583
0095.png,Foreground,8.398989,0.7771447,0.36112267,0.87308306
0095.png,Background,5.2399373,0.4857205,0.13450103,0.21092035
0096.png,Foreground,6.7421494,0.665463,0.20474747,0.54293954
0096.png,Background,4.476559,0.41926917,0.08220529,0.3178825
0097.png,Foreground,6.046168,0.56226,0.13016814,0.830502
0097.png,Background,4.802357,0.44962493,0.08871117,0.24040806
0098.png,Foreground,8.759898,0.8326756,0.38325572,0.8829348
0098.png,Background,4.6231627,0.43098485,0.09883066,0.16532886
0099.png,Foreground,8.345907,0.78145033,0.34930238,0.8196403
0099.png,Background,5.0011234,0.48010722,0.11102378,0.28415582
0100.png,Foreground,8.348309,0.7784094,0.33608013,0.78665435
0100.png,Background,5.105021,0.4749141,0.1215137,0.30673242
